dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
103,14.1,14.418130810745224,15.12,15.65433683959239,15.6,17.55648527959247,18.5,16.2,0.5456631604076101,2024-04-13
104,14.0,14.422488917040098,15.3,15.65571372563809,15.5,17.537312392152277,18.3,17.0,1.3442862743619095,2024-04-14
105,13.9,14.422805554616364,15.4,15.658240688697658,15.9,17.524052867565366,18.0,17.2,1.5417593113023411,2024-04-15
106,14.5,14.420434345908545,15.32,15.662370121116536,15.88,17.517913141886556,18.3,17.2,1.5376298788834628,2024-04-16
107,14.3,14.417544361794295,15.4,15.668587291327388,15.74,17.51865617139638,18.6,17.2,1.5314127086726117,2024-04-17
108,14.3,14.415962641942507,15.26,15.677084661615794,15.7,17.525184512759367,18.2,17.0,1.322915338384206,2024-04-18
109,14.5,14.416642971180613,15.3,15.687694426454438,15.7,17.53514927773403,17.6,17.1,1.412305573545563,2024-04-19
110,14.6,14.419500751863106,15.5,15.700067562902374,15.7,17.54677256036708,17.4,17.5,1.7999324370976257,2024-04-20
111,14.3,14.424028195288082,15.26,15.71384757178227,15.819999999999999,17.559575767614948,17.8,15.8,0.08615242821772995,2024-04-21
112,14.4,14.429376193747572,15.2,15.728711981073848,15.9,17.57463206272056,19.5,16.5,0.7712880189261515,2024-04-22
113,14.4,14.4346345550317,15.46,15.744420912187275,15.88,17.593397423284383,19.1,16.3,0.5555790878127258,2024-04-23
114,13.6,14.438881608930712,15.3,15.760579053511107,15.88,17.617421308157237,18.4,16.1,0.33942094648889487,2024-04-24
115,13.8,14.441682675029355,15.16,15.776485321816015,15.9,17.647299408454355,18.1,16.4,0.6235146781839838,2024-04-25
116,13.8,14.442430508479738,15.26,15.791420361002677,15.94,17.68276392454577,18.1,15.2,-0.5914203610026778,2024-04-26
117,14.0,14.440844764623566,15.360000000000001,15.804959492211779,15.84,17.723056643093805,18.6,15.6,-0.20495949221177945,2024-04-27
118,13.1,14.437184674312121,15.26,15.816768623281328,16.0,17.766786505002262,19.2,15.6,-0.21676862328132884,2024-04-28
119,13.7,14.43212748707518,15.5,15.826505188888673,15.92,17.812107998021492,18.6,15.6,-0.2265051888886731,2024-04-29
120,13.8,14.42675883413361,15.5,15.833959517841583,15.78,17.857087797535538,18.6,16.2,0.3660404821584162,2024-04-30
121,14.4,14.42245558907318,15.46,15.839090769489893,15.94,17.899684441996822,18.7,15.7,-0.13909076948989352,2024-05-01
122,13.6,14.420136092988223,15.360000000000001,15.842219257422828,15.84,17.93771164682661,19.4,16.6,0.7577807425771734,2024-05-02
123,13.7,14.4203355742309,15.5,15.844175340740158,16.12,17.969337637965612,19.0,16.2,0.3558246592598415,2024-05-03
124,13.7,14.422953542494684,15.66,15.845928167864823,16.24,17.99398454564202,19.3,16.6,0.7540718321351783,2024-05-04
125,13.5,14.427208352374382,15.34,15.848064941631808,16.12,18.011442024768602,19.4,17.3,1.4519350583681927,2024-05-05
126,13.9,14.43177571439995,15.32,15.850694953004625,15.94,18.021582233530776,19.5,16.0,0.14930504699537472,2024-05-06
127,14.0,14.435343057365259,15.360000000000001,15.853624565767326,16.0,18.024801141951205,18.9,16.9,1.0463754342326723,2024-05-07
128,13.6,14.43686630363543,15.3,15.856303084259023,15.7,18.02229691945843,18.8,16.8,0.9436969157409774,2024-05-08
129,14.2,14.436077267182537,15.360000000000001,15.85816708177445,15.7,18.01570120811145,18.6,15.9,0.04183291822555013,2024-05-09
130,14.0,14.433587570474899,15.06,15.85916135570989,15.639999999999999,18.006980198798136,18.8,15.9,0.04083864429011008,2024-05-10
131,14.0,14.430089380751749,15.2,15.859673659704184,15.639999999999999,17.998040481467054,19.0,16.2,0.34032634029581565,2024-05-11
132,14.3,14.426168932961122,15.16,15.86024018964968,15.54,17.989992767403212,18.5,16.5,0.6397598103503199,2024-05-12
133,14.3,14.422450581470782,15.2,15.861491062450492,15.639999999999999,17.983821406684104,18.5,17.4,1.5385089375495067,2024-05-13
134,14.2,14.419483045087848,15.5,15.8640592550382,15.74,17.979929032305876,18.8,17.5,1.6359407449618004,2024-05-14
135,14.3,14.417171593276475,15.56,15.868403575604882,16.0,17.978595201846097,18.4,16.7,0.8315964243951175,2024-05-15
136,14.4,14.415156315076846,15.8,15.874921108794974,16.1,17.980536506919353,18.0,16.8,0.9250788912050272,2024-05-16
137,14.1,14.413016508357066,15.56,15.883972536976248,16.24,17.986603211094113,18.0,17.0,1.1160274630237517,2024-05-17
138,14.0,14.410521772351922,15.62,15.895588498716405,16.1,17.997965214202953,17.7,17.2,1.3044115012835942,2024-05-18
139,14.0,14.407371543597874,15.5,15.909320763670134,16.08,18.015272967274758,18.3,16.5,0.5906792363298656,2024-05-19
140,13.8,14.402963749371423,15.7,15.924189608952897,16.279999999999998,18.03869328717012,18.8,17.0,1.0758103910471029,2024-05-20
